sol_id,method,primary,eps_f2,eps_f3,f1,f2,f3,eps_f1,w1,w2,w3
wgt_2,weighting,,,,5.485319683711763,1032015893.0833334,49455.96558705352,,0.8,0.1,0.1
wgt_4,weighting,,,,4937.0,996099084.8333336,76857.4310370296,,0.0,0.1,0.9
wgt_5,weighting,,,,1989.5188307948029,986810284.166667,60269.32347379197,,0.2,0.7,0.1
wgt_6,weighting,,,,4742.0,989068676.5833338,75777.6755547663,,0.0,0.3,0.7
wgt_7,weighting,,,,398.5380708373408,1015252170.8333335,52369.99540645233,,0.3,0.3,0.4
wgt_8,weighting,,,,13.085157774024891,1031057054.6666669,49465.41523548128,,0.6,0.3,0.1
wgt_9,weighting,,,,5.485319683715177,1032012743.0833334,49455.965587053535,,0.4,0.1,0.5
wgt_10,weighting,,,,2481.7486876460252,983548271.5833335,60080.27753042255,,0.1,0.8,0.1
wgt_12,weighting,,,,4842.0,986775131.0833338,74466.5526063133,,0.0,0.5,0.5
wgt_13,weighting,,,,10.959721569622513,1200965180.5833335,49514.63689967978,,0.2,0.0,0.8
wgt_14,weighting,,,,396.768399102459,1015291168.9166666,52336.246343361665,,0.4,0.5,0.1
wgt_15,weighting,,,,14.52909978147448,1030973426.6666667,49494.54575392757,,0.5,0.4,0.1
wgt_16,weighting,,,,523.529797955335,1011546182.6666669,53131.42825355855,,0.3,0.5,0.2
wgt_18,weighting,,,,927.7194143237485,1003567827.5833335,56169.58520523888,,0.2,0.2,0.6
wgt_19,weighting,,,,1348.256848382116,996712464.0833335,59124.818579707964,,0.2,0.4,0.4
wgt_20,weighting,,,,15.571721089569518,1030937002.6666667,49518.97624920642,,0.4,0.3,0.3
wgt_22,weighting,,,,2035.0216372192363,986308965.6666669,60476.719520466184,,0.1,0.6,0.3
wgt_24,weighting,,,,4871.0,978317887.0833337,66942.02750271466,,0.0,0.7,0.3
wgt_26,weighting,,,,823.5188307947925,1004923951.1666677,-13516.576285127958,,0.3,0.7,0.0
wgt_28,weighting,,,,2032.28022964767,986168188.1666675,-5232.76840627435,,0.2,0.8,0.0
wgt_29,weighting,,,,3221.279478408902,993902936.2500004,72774.54519142362,,0.1,0.1,0.8
wgt_30,weighting,,,,57.71564794883581,1028885945.6666671,-18175.10356526896,,0.5,0.5,0.0
wgt_32,weighting,,,,5.485319683708566,1200962483.0833335,49455.96558705352,,0.3,0.0,0.7
wgt_33,weighting,,,,3156.998255953682,990771931.4166669,71595.34528096426,,0.1,0.3,0.6
wgt_34,weighting,,,,13.59140015172892,1031024077.6666667,49480.129211146195,,0.5,0.3,0.2
wgt_36,weighting,,,,498.2568483821124,1012187170.8333334,52948.73984514206,,0.3,0.4,0.3
wgt_37,weighting,,,,1892.2802296476684,988292632.3333336,60360.64551665817,,0.2,0.6,0.2
wgt_38,weighting,,,,4742.0,988308754.0833336,75460.44799823881,,0.0,0.4,0.6
wgt_40,weighting,,,,13.085157774022344,1031037413.6666673,-14869.584764518746,,0.6,0.4,0.0
wgt_43,weighting,,,,4819.0,978225698.2500004,66679.55246537563,,0.0,0.8,0.2
wgt_44,weighting,,,,14.810322236693464,1030965691.6666666,49504.08608067992,,0.4,0.2,0.4
wgt_45,weighting,,,,59.48531968371661,1028844829.5833334,49858.79930821259,,0.3,0.2,0.5
wgt_46,weighting,,,,401.27947840889976,1015205204.3333334,52399.183287807755,,0.2,0.1,0.7
